117,96 122,1 122,1 110,08 124,54 121,6 121,86 121,58 115,76 125,58 106,26
121,14 123 122,92 115,16 122,98 122,4 122,88 121,96 120,8 119,5 122,64
129,18 121,58 122,42 104,98 100,9 115,72 115,06 122,78 123,26 115,5 125,46
127,5 126,74 122,34 111,96 122,94 123,3 124,36 112,16 121,82 122,56 116,48
138,46 129,68 112,22 122,32 122,58 122,76 115,02 123,14 122,2 97,68 94,38
120,82 126,8 123,02 121,74 117,32 121,8 122,68 121,92 122,76 114,1 123,48
129,26 121,9 126,32 118,78 123,38 123,14 116,64 116,34 112,8 116,12 140,9
152,24 98 121,82 121,46 108,62 109,54 107,38 122,72 122,6 94,08 121,36
127,6 143,68 101,4 119,8 120,3 120,54 123,96 120,98 122,88 122,56 116,88
146,62 136,56 134,84 128,84 114,86 122,38 123,3 122,56 123,22 99,82 99,9
157,6 148,28 155,28 132 138,26 131,98 128,86 122,84 123,42 105,2 122,28
147 141,86 146,82 132,52 132,32 120,98 132,06 123,9 122,42 123,52 109,78
158,76 118,7 134,98 134,74 140,2 86,5 99,42 97,92 121,72 122,18 125,1
160,48 104 138,18 158,22 135,74 175,12 137,8 103,9 77,52 97,22 40,86
151,38 172,44 113,72 143,02 140,08 153,76 138,8 100,16 91,9 129,44 102,36
458,52 421,14 166,98 152,12 156,92 171,18 152,24 158,58 123,74 98,96 123,58
468,8 447,1 186,42 115,08 175,54 132,9 151,4 191,28 144,68 114,06 123,3
443,32 425,78 389,5 401,92 148,66 153,72 230,58 196,88 121,34 116,04 97,08
476,06 427,12 459,5 391,32 181,16 161,38 105,8 164,14 95,94 77,24 117,26
467,2 405,62 442,98 354,26 382,98 327,68 136,98 182,26 93,24 100,78 110,3
408,32 366,64 422,78 364,28 435,74 375,16 123,96 154,38 132,18 116,42 75,68
425,7 365,86 433,42 375,14 453,38 400,34 449,56 367,58 137,6 114,76 135,56
486 452,76 470,04 432 426,56 434,94 457,88 443,14 140,52 94,98 122,1
418,42 453,84 456,36 380,6 476,6 452,16 459,86 454,84 142,48 106,02 125
437 435,22 439,24 405,94 467,7 455,74 482,18 443,18 164,84 123 102,92
425,06 432,64 426,82 467,7 408,62 506,56 461,9 424,02 139,5 122,26 123,32
452,5 450,58 481,32 433,66 464,78 474,98 467,3 441,42 167,62 122,38 121,84
405,4 455,2 464,46 471,34 458,2 488 446,36 455,14 134,22 96,04 74,28
397,94 397,5 383,92 432,72 382,22 490,8 472,04 451,86 135,64 122 114,6
471,46 452,16 449,68 445,42 457,9 466,16 453,64 434,9 421,32 122,58 122,96
486 490,1 469,74 433,3 419,1 783,62 392,44 456,46 414,28 82,12 96,38
460,98 414,18 390,06 458,9 433,16 457,18 415,92 442,84 400,84 91,84 101,66
427,7 431,94 420,42 429,88 452,22 415,46 462,7 459,64 485,72 102,9 113,48
455,38 422,68 452,6 480,86 462,64 440,22 475,76 470,74 471,64 123,26 122,76
414,9 455,2 461,84 462,92 483,34 393,66 452,82 436,12 470,04 144,72 122,16
431,94 455,74 455 434,06 480,68 425,08 447,52 449,9 404,76 115,08 122,98
438,32 438,46 411,94 414,42 435,8 409,06 427,52 380,68 332,42 105,92 120,36
384,72 482,92 454,3 481,62 489,46 476,8 437,4 425,12 461,56 102,24 78,42
400,72 331,88 410,52 380,38 377,96 421,68 383,2 437,68 398,26 106,66 101,64
450,74 437,5 458,04 292,76 318,02 337,84 450,66 434,54 417,14 120,18 55,82
330,58 330,56 279,68 405,6 343,54 342,86 400,98 416,54 449,12 140,9 120,32
452,02 460,56 430,16 388,46 429,3 436,54 438,56 451,38 413,4 121,84 122,12
455,58 464,18 457,18 439,72 407,66 414,5 451,86 377,4 256,5 116,32 69,28
467,1 400,1 408,38 448,76 448,6 472,06 422,92 440,8 381,06 158,3 84,92
426,62 440,6 436,1 469,88 480,24 476,84 425,14 347,54 387,52 187,56 123,54
495,52 467,32 455,3 430,42 455,44 439,9 478,86 448,28 481,68 431,34 124,32
467,2 424,32 468,1 441,12 405,12 426,1 485,58 493,7 448,1 494,82 122,78
440,98 488,54 439,76 452,04 455,44 473,26 474,08 482,72 439,32 481,4 122,56
435,4 429,94 413 413,92 424,86 375,42 467,46 422,46 481,06 444,98 121,12
474,06 465,02 475,8 479,66 409,18 336,96 291,74 258,84 289,56 248,86 105,6
465,32 478,8 440,92 449,92 411,38 447,52 471,48 442,4 450,76 438,32 113,22
432,14 451,48 468,62 457,76 466,46 461,8 456,04 445,22 485,12 469,96 124,42
446,52 439,38 477,58 430,06 446,22 477,24 457,9 465,8 452,82 426,74 123,22
475,78 458,94 443,72 466,56 456,88 480,48 450,56 470,36 463,9 449,52 117,08
419,34 456,92 467,88 445,54 452,76 442,5 471,78 436,68 470,2 465,86 129,34
434,06 476,92 439,82 437,12 447,78 469,4 459,74 426,02 398,34 438,38 122,6
473,76 483,92 440,06 486,9 455,52 484,54 442,54 478,38 457,24 471,6 121,8
450,9 440,08 453,38 473,9 479,7 500 440,66 460,82 432,96 454 123,62
439,44 475,7 453,06 413,2 463,5 455,38 480,12 455,6 458,58 458,04 122,46
450,88 446,16 423,52 464,86 480,92 460,98 475,6 460,4 459,84 461,16 123,1
483,34 495,5 474,54 447,56 453,1 458,04 433,66 471,1 455,22 466,72 122,48
459,8 501,18 455,92 467,56 463,48 454,8 489,04 425,72 461,4 502,3 122,24
484,7 431,48 434,5 449,98 430,42 420,88 460,12 439,58 443 491,54 122,58
461,1 461,96 418,92 435,38 456,36 496,4 434,76 457,06 462,16 467,56 122,26
